//: name: t16.txt							
//: description: Fully corrected multiplicity distributions. Note that the value of P0 in the 1 to 5 pseudorapidity region is not measured but taken from the reweighted DJANGO 6.0 Monte Carlo generator.							
											
//: keyword reactions: E+ P --> E+ CHGD-HADRONS X							
//: keyword observables: MULT							
//: keyword cmenergies: 0.0							
//: ETARAP(REF=CM)	1 TO 5						
//: M(P=1_2) [GEV]	150 TO 220						
//: Q**2 [GEV**2]	10 TO 1000						
//: RE	E+ P --> E+ CHGD-HADRONS X	
// N      PROB      ERX     ERY
// 0.00   0.00270    0.0009   0.00000
 1.00   0.00960    0.00   0.01964
 2.00   0.02370    0.00   0.00718
 3.00   0.03730    0.00   0.01145
 4.00   0.05470    0.00   0.01026
 5.00   0.07500    0.00   0.00883
 6.00   0.08490    0.00   0.01288
 7.00   0.10080    0.00   0.01657
 8.00   0.10540    0.00   0.01266
 9.00   0.10400    0.00   0.01763
10.00   0.09200    0.00   0.01092
11.00   0.08030    0.00   0.01189
12.00   0.06480    0.00   0.01034
13.00   0.04780    0.00   0.00993
14.00   0.03810    0.00   0.01249
15.00   0.02320    0.00   0.00808
16.00   0.02130    0.00   0.01102
17.00   0.01140    0.00   0.00684
18.00   0.00830    0.00   0.00456
19.00   0.00640    0.00   0.00322
20.00   0.00300    0.00   0.00396
21.00   0.00130    0.00   0.00193
22.00   0.00190    0.00   0.00272
23.00   0.00030    0.00   0.00054
