//: name: t11.txt							
//: description: Fully corrected multiplicity distributions. Note that the value of P0 in the 1 to 4 pseudorapidity region is not measured but taken from the reweighted DJANGO 6.0 Monte Carlo generator.							
											
//: keyword reactions: E+ P --> E+ CHGD-HADRONS X							
//: keyword observables: MULT							
//: keyword cmenergies: 0.0							
//: ETARAP(REF=CM)	1 TO 4						
//: M(P=1_2) [GEV]	150 TO 185						
//: Q**2 [GEV**2]	10 TO 1000						
//: RE	E+ P --> E+ CHGD-HADRONS X	
// N      PROB      ERX     ERY
// 0.00   0.01130    0.00   0.01517
 1.00   0.02560    0.00   0.01563
 2.00   0.04690    0.00   0.02392
 3.00   0.06810    0.00   0.01044
 4.00   0.08770    0.00   0.01078
 5.00   0.09870    0.00   0.01606
 6.00   0.10470    0.00   0.00467
 7.00   0.09680    0.00   0.00996
 8.00   0.09100    0.00   0.00664
 9.00   0.08100    0.00   0.01104
10.00   0.06900    0.00   0.00867
11.00   0.05760    0.00   0.00780
12.00   0.04920    0.00   0.01203
13.00   0.03590    0.00   0.01344
14.00   0.02710    0.00   0.00999
15.00   0.01590    0.00   0.00738
16.00   0.01110    0.00   0.00938
17.00   0.00860    0.00   0.00478
18.00   0.00490    0.00   0.00345
19.00   0.00310    0.00   0.00640
20.00   0.00090    0.00   0.00149
21.00   0.00170    0.00   0.00313
22.00   0.00130    0.00   0.00275
