1	0.0100946		0	0.00253
2	0.0769716		0	0.0072215
3	0.0769716		0	0.0072215
4	0.121767		0	0.0092629
5	0.109779		0	0.0087497
6	0.109779		0	0.0087497
7	0.0984227		0	0.0082439
8	0.0807571		0	0.0074094
9	0.081388		0	0.0074404
10	0.0492114		0	0.0057021
11	0.0492114		0	0.0057021
12	0.0384898		0	0.0050178
13	0.029653		0	0.0043864
14	0.0189274		0	0.0034869
15	0.0157729		0	0.0031784
16	0.0100946		0	0.0025359
17	0.0044164		0	0.0016728
18	0.0063091		0	0.0020012
19	0.0031546		0	0.0014129
20	0.0037855		0	0.0015482
21	0.0025237		0	0.0012618
24	0.0012618		0	0.0008928
26	0.0012618		0	0.0008928
