1	0.0042553	0	0.0003015
2	0.0085106	0	0.00042723
3	0.0297872	0	0.00080715
4	0.0191489	0	0.00064401
5	0.0191489	0	0.00064401
6	0.0212766	0	0.00067951
7	0.0255319	0	0.00074582
8	0.0191489	0	0.00064401
9	0.0510638	0	0.00106701
10	0.0340426	0	0.00086455
11	0.0361702	0	0.00089202
12	0.0297872	0	0.00080715
13	0.0361702	0	0.00089202
14	0.0297872	0	0.00080715
15	0.0361702	0	0.00089202
16	0.0446809	0	0.00099542
17	0.0446809	0	0.00099524
18	0.0255319	0	0.00074582
19	0.0468085	0	0.00101964
20	0.0319149	0	0.00083629
21	0.0255319	0	0.00074582
22	0.0191489	0	0.00064401
23	0.0212766	0	0.00067951
24	0.0255319	0	0.00074582
25	0.0276596	0	0.00077703
26	0.0234043	0	0.00071337
27	0.0255319	0	0.00074582
28	0.0148936	0	0.00056685
30	0.01418443	0	0.00030953
32	0.0170213	0	0.00060658
33	0.012766	0	0.00052428
34	0.0148936	0	0.00056685
35	0.0170213	0	0.00060658
36	0.0085106	0	0.00042723
37.5	0.0074468	0	0.000281462
39.5	0.0074468	0	0.000281462
41	0.012766	0	0.00052428
42	0.0085106	0	0.00042723
50	0.00957445	0	0.000319148


